Name,Price,Review,Rating,Availability
"Thirteen Reasons Why","52.72","0","One","In stock (15 available)"
"Tracing Numbers on a Train","41.6","0","Three","In stock (15 available)"
"The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”","58.08","0","Four","In stock (15 available)"
"The Vacationers","42.15","0","Four","In stock (15 available)"
"The Wedding Dress","24.12","0","One","In stock (15 available)"
"The Stranger","17.44","0","Four","In stock (15 available)"
"Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History","59.64","0","One","In stock (15 available)"
"The Third Wave: An Entrepreneur’s Vision of the Future","12.61","0","Five","In stock (15 available)"
"The Secret (The Secret #1)","27.37","0","Four","In stock (15 available)"
"The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us","37.34","0","Five","In stock (15 available)"
"The Project","10.65","0","One","In stock (15 available)"
"The House by the Lake","36.95","0","One","In stock (15 available)"
"The Shadow Hero (The Shadow Hero)","33.14","0","One","In stock (15 available)"
"The Long Shadow of Small Ghosts: Murder and Memory in an American City","10.97","0","One","In stock (15 available)"
"The Psychopath Test: A Journey Through the Madness Industry","36","0","Two","In stock (15 available)"
"The Mistake (Off-Campus #2)","43.29","0","Three","In stock (15 available)"
"The Power of Now: A Guide to Spiritual Enlightenment","43.54","0","Two","In stock (15 available)"
"The Regional Office Is Under Attack!","51.36","0","Five","In stock (15 available)"
"The Matchmaker's Playbook (Wingmen Inc. #1)","55.85","0","One","In stock (15 available)"
"The Glittering Court (The Glittering Court #1)","44.28","0","One","In stock (15 available)"
"The Kite Runner","41.82","0","Four","In stock (15 available)"
"The Murder of Roger Ackroyd (Hercule Poirot #4)","44.1","0","Four","In stock (15 available)"
"The Emerald Mystery","23.15","0","Two","In stock (15 available)"
"The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking","37.6","0","Two","In stock (15 available)"
"The Girl on the Train","55.02","0","Two","In stock (15 available)"
"The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First","41.25","0","One","In stock (15 available)"
"The Omnivore's Dilemma: A Natural History of Four Meals","38.21","0","Two","In stock (15 available)"
"The Genius of Birds","17.24","0","One","In stock (15 available)"
"The Artist's Way: A Spiritual Path to Higher Creativity","38.49","0","Five","In stock (15 available)"
"The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.","32","0","Three","In stock (15 available)"
"Soft Apocalypse","26.12","0","Two","In stock (15 available)"
"The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job","27.55","0","Three","In stock (15 available)"
"The Argonauts","10.93","0","Two","In stock (15 available)"
"The Art of War","33.34","0","Five","In stock (15 available)"
"Suddenly in Love (Lake Haven #1)","55.99","0","Two","In stock (15 available)"
"So You've Been Publicly Shamed","12.23","0","Two","In stock (15 available)"
"Nightingale, Sing","38.28","0","One","In stock (15 available)"
"Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form","41.06","0","One","In stock (15 available)"
"Poems That Make Grown Women Cry","14.19","0","Four","In stock (15 available)"
"Shobu Samurai, Project Aryoku (#3)","29.06","0","Three","In stock (15 available)"
"Redeeming Love","20.47","0","Five","In stock (15 available)"
"Shoe Dog: A Memoir by the Creator of NIKE","23.99","0","Two","In stock (15 available)"
"Scarlett Epstein Hates It Here","43.55","0","Five","In stock (15 available)"
"Something More Than This","16.24","0","Four","In stock (15 available)"
"Secrets and Lace (Fatal Hearts #1)","20.27","0","One","In stock (15 available)"
"Romero and Juliet: A Tragic Tale of Love and Zombies","36.94","0","One","In stock (15 available)"
"Night Sky with Exit Wounds","41.05","0","One","In stock (15 available)"
"Mrs. Houdini","30.25","0","Five","In stock (15 available)"
"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1)","10.76","0","One","In stock (15 available)"
"Hollow City (Miss Peregrine’s Peculiar Children #2)","42.98","0","One","In stock (15 available)"
"Modern Romance","28.26","0","Five","In stock (15 available)"
"Library of Souls (Miss Peregrine’s Peculiar Children #3)","48.56","0","Five","In stock (15 available)"
"Little Red","13.47","0","Three","In stock (15 available)"
"Fables, Vol. 1: Legends in Exile (Fables #1)","41.62","0","Four","In stock (15 available)"
"First Steps for New Christians (Print Edition)","29","0","One","In stock (15 available)"
"Large Print Heart of the Pride","19.15","0","Two","In stock (15 available)"
"Louisa: The Extraordinary Life of Mrs. Adams","16.85","0","Two","In stock (15 available)"
"Follow You Home","21.36","0","One","In stock (15 available)"
"Frostbite (Vampire Academy #2)","29.99","0","Five","In stock (15 available)"
"Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond","49.43","0","Four","In stock (15 available)"
"Grumbles","22.16","0","Two","In stock (15 available)"
"I Had a Nice Time And Other Lies...: How to find love & sh*t like that","57.36","0","Four","In stock (15 available)"
"Done Rubbed Out (Reightman & Bailey #1)","37.72","0","Five","In stock (15 available)"
"Eureka Trivia 6.0","54.59","0","Four","In stock (15 available)"
"Finders Keepers (Bill Hodges Trilogy #2)","53.53","0","Five","In stock (15 available)"
"Drive: The Surprising Truth About What Motivates Us","34.95","0","Four","In stock (15 available)"
"Doing It Over (Most Likely To #1)","35.61","0","Three","In stock (15 available)"
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals","42.16","0","Three","In stock (15 available)"
"Big Magic: Creative Living Beyond Fear","30.8","0","Three","In stock (15 available)"
"Amy Meets the Saints and Sages","18.46","0","Three","In stock (15 available)"
"Dark Notes","19.19","0","Five","In stock (15 available)"
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","19.43","0","Three","In stock (15 available)"
"Batman: The Long Halloween (Batman)","36.5","0","Two","In stock (15 available)"
"Chasing Heaven: What Dying Taught Me About Living","37.8","0","Two","In stock (15 available)"
"Becoming Wise: An Inquiry into the Mystery and Art of Living","27.43","0","Two","In stock (15 available)"
"Close to You","49.46","0","Four","In stock (15 available)"
"Agnostic: A Spirited Manifesto","12.51","0","Five","In stock (15 available)"
"Beauty Restored (Riley Family Legacy Novellas #3)","11.11","0","Two","In stock (15 available)"
"You (You #1)","43.61","0","Five","In stock (14 available)"
"Amid the Chaos","36.58","0","One","In stock (15 available)"
"Ayumi's Violin","15.48","0","Two","In stock (15 available)"
"Anonymous","46.82","0","Four","In stock (15 available)"
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)","37.34","0","Four","In stock (14 available)"
"Batman: The Dark Knight Returns (Batman)","15.38","0","Five","In stock (15 available)"
"Amatus","50.54","0","Five","In stock (15 available)"
"Zealot: The Life and Times of Jesus of Nazareth","24.7","0","Three","In stock (14 available)"
"Wild Swans","14.36","0","Two","In stock (14 available)"
"Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond","52.65","0","Four","In stock (14 available)"
"What's It Like in Space?: Stories from Astronauts Who've Been There","19.6","0","Two","In stock (14 available)"
"Twenty Yawns","22.08","0","Two","In stock (14 available)"
"Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity","38.2","0","Four","In stock (14 available)"
"V for Vendetta (V for Vendetta Complete)","37.1","0","Four","In stock (14 available)"
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)","53.9","0","One","In stock (14 available)"
"Until Friday Night (The Field Party #1)","46.31","0","Two","In stock (14 available)"
"The Time Keeper","27.88","0","Five","In stock (14 available)"
"Walt Disney's Alice in Wonderland","12.96","0","Five","In stock (14 available)"
"The White Queen (The Cousins' War #1)","25.91","0","Five","In stock (14 available)"
"This Is Where It Ends","27.12","0","Two","In stock (14 available)"
"Through the Woods","25.38","0","Two","In stock (14 available)"
"The Year of Magical Thinking","43.04","0","Two","In stock (14 available)"
"The Wright Brothers","56.8","0","Four","In stock (14 available)"
"The Songs of the Gods","44.48","0","Five","In stock (14 available)"
"Unbroken: A World War II Story of Survival, Resilience, and Redemption","45.95","0","Two","In stock (14 available)"
"The Testament of Mary","52.67","0","Four","In stock (14 available)"
"The Wedding Pact (The O'Malleys #2)","32.61","0","Three","In stock (14 available)"
"The Star-Touched Queen","46.02","0","Five","In stock (14 available)"
"The Song of Achilles","37.4","0","Five","In stock (14 available)"
"The Rosie Project (Don Tillman #1)","54.04","0","One","In stock (14 available)"
"The Marriage of Opposites","28.08","0","Four","In stock (14 available)"
"The Power of Habit: Why We Do What We Do in Life and Business","16.88","0","Three","In stock (14 available)"
"The Loney","23.4","0","One","In stock (14 available)"
"The Long Haul (Diary of a Wimpy Kid #9)","44.07","0","One","In stock (14 available)"
"The Immortal Life of Henrietta Lacks","40.67","0","Two","In stock (14 available)"
"The Lucifer Effect: Understanding How Good People Turn Evil","10.4","0","One","In stock (14 available)"
"The Literature Book (Big Ideas Simply Explained)","17.43","0","Three","In stock (14 available)"
"The Bane Chronicles (The Bane Chronicles #1-11)","44.73","0","Four","In stock (14 available)"
"The Dovekeepers","48.78","0","One","In stock (14 available)"
"The First Hostage (J.B. Collins #2)","25.85","0","Three","In stock (14 available)"
"The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth","28.77","0","Three","In stock (14 available)"
"The Guilty (Will Robie #4)","13.82","0","Two","In stock (14 available)"
"The Hidden Oracle (The Trials of Apollo #1)","52.26","0","Two","In stock (14 available)"
"That Darkness (Gardiner and Renner #1)","13.92","0","One","In stock (14 available)"
"The Last Mile (Amos Decker #2)","54.21","0","Two","In stock (14 available)"
"Take Me with You","45.21","0","Three","In stock (14 available)"
"The 14th Colony (Cotton Malone #11)","39.24","0","One","In stock (14 available)"
"The Darkest Lie","35.35","0","Five","In stock (14 available)"
"Tastes Like Fear (DI Marnie Rome #3)","10.69","0","One","In stock (14 available)"
"The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts","15.77","0","One","In stock (14 available)"
"Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1)","11.89","0","Five","In stock (14 available)"
"Swell: A Year of Waves","45.58","0","One","In stock (14 available)"
"Shtum","55.84","0","Four","In stock (14 available)"
"Steve Jobs","39.5","0","Five","In stock (14 available)"
"Pet Sematary","10.56","0","Three","In stock (14 available)"
"Someone Like You (The Harrisons #2)","52.79","0","Five","In stock (14 available)"
"salt.","46.78","0","Four","In stock (14 available)"
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)","35.43","0","Four","In stock (14 available)"
"See America: A Celebration of Our National Parks & Treasured Sites","48.87","0","Three","In stock (14 available)"
"Old School (Diary of a Wimpy Kid #10)","11.83","0","Five","In stock (14 available)"
"Sorting the Beef from the Bull: The Science of Food Fraud Forensics","44.74","0","Four","In stock (14 available)"
"Still Life with Bread Crumbs","26.41","0","Three","In stock (14 available)"
"Rain Fish","23.57","0","Three","In stock (14 available)"
"Robin War","47.82","0","Three","In stock (14 available)"
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)","25.48","0","Two","In stock (14 available)"
"Quarter Life Poetry: Poems for the Young, Broke and Hangry","50.89","0","Five","In stock (14 available)"
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress","52.15","0","Three","In stock (14 available)"
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)","38.39","0","Two","In stock (14 available)"
"Once Was a Time","18.28","0","Two","In stock (14 available)"
"No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon","21.95","0","Two","In stock (14 available)"
"My Name Is Lucy Barton","41.56","0","One","In stock (14 available)"
"My Mrs. Brown","24.48","0","Three","In stock (14 available)"
"Luckiest Girl Alive","49.83","0","Three","In stock (14 available)"
"Mr. Mercedes (Bill Hodges Trilogy #1)","28.9","0","One","In stock (14 available)"
"My Kind of Crazy","40.36","0","One","In stock (14 available)"
"More Than Music (Chasing the Dream #1)","37.61","0","Two","In stock (14 available)"
"I Am Pilgrim (Pilgrim #1)","10.6","0","Four","In stock (14 available)"
"Lowriders to the Center of the Earth (Lowriders in Space #2)","51.51","0","Two","In stock (14 available)"
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","14.75","0","Five","In stock (14 available)"
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes","19.55","0","One","In stock (14 available)"
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments","46.91","0","Four","In stock (14 available)"
"Let It Out: A Journey Through Journaling","26.79","0","Five","In stock (14 available)"
"Made to Stick: Why Some Ideas Survive and Others Die","38.85","0","Five","In stock (14 available)"
"Love Is a Mix Tape (Music #1)","18.03","0","One","In stock (14 available)"
"Looking for Lovely: Collecting the Moments that Matter","29.14","0","Five","In stock (14 available)"
"Luis Paints the World","53.95","0","Three","In stock (14 available)"
"Island of Dragons (Unwanteds #7)","29.65","0","One","In stock (14 available)"
"Hush, Hush (Hush, Hush #1)","47.02","0","Three","In stock (14 available)"
"I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction","25.98","0","Four","In stock (14 available)"
"Lady Midnight (The Dark Artifices #1)","16.28","0","Five","In stock (14 available)"
"Hold Your Breath (Search and Rescue #1)","28.82","0","One","In stock (14 available)"
"Hamilton: The Revolution","58.79","0","Three","In stock (14 available)"
"Every Last Word","46.47","0","Three","In stock (14 available)"
"Feathers: Displays of Brilliant Plumage","49.05","0","Three","In stock (14 available)"
"God: The Most Unpleasant Character in All Fiction","30.03","0","Five","In stock (14 available)"
"Glory over Everything: Beyond The Kitchen House","45.84","0","Three","In stock (14 available)"
"Greek Mythic History","10.23","0","Five","In stock (14 available)"
"El Deafo","57.62","0","Five","In stock (14 available)"
"Eight Hundred Grapes","14.39","0","Four","In stock (14 available)"
"Eligible (The Austen Project #4)","27.09","0","Three","In stock (14 available)"
"Eat Fat, Get Thin","54.07","0","Two","In stock (14 available)"
"Doctor Sleep (The Shining #2)","40.12","0","Two","In stock (14 available)"
"Don't Get Caught","55.35","0","One","In stock (14 available)"
"Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3)","37.51","0","Five","In stock (14 available)"
"Crazy Love: Overwhelmed by a Relentless God","47.72","0","Two","In stock (14 available)"
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life","51.75","0","Five","In stock (14 available)"
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years","15.06","0","Four","In stock (14 available)"
"Cometh the Hour (The Clifton Chronicles #6)","25.01","0","Three","In stock (14 available)"
"Dear Mr. Knightley","11.21","0","Five","In stock (14 available)"
"Daily Fantasy Sports","36.58","0","One","In stock (14 available)"
"Code Name Verity (Code Name Verity #1)","22.13","0","Four","In stock (14 available)"
"Clockwork Angel (The Infernal Devices #1)","44.14","0","One","In stock (14 available)"
"Batman: Europa","32.01","0","Two","In stock (14 available)"
"City of Bones (The Mortal Instruments #1)","43.28","0","One","In stock (14 available)"
"Catching Jordan (Hundred Oaks)","50.83","0","Three","In stock (14 available)"
"City of Ashes (The Mortal Instruments #2)","47.27","0","One","In stock (14 available)"
"City of Glass (The Mortal Instruments #3)","56.02","0","Four","In stock (14 available)"
"Brain on Fire: My Month of Madness","49.32","0","Five","In stock (14 available)"
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1)","58.14","0","Four","In stock (14 available)"
"Balloon Animals","17.03","0","Three","In stock (14 available)"
"Carry On, Warrior: Thoughts on Life Unarmed","31.85","0","Three","In stock (14 available)"
"Cell","20.29","0","Four","In stock (14 available)"
"Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again","50.62","0","Five","In stock (14 available)"
"City of Fallen Angels (The Mortal Instruments #4)","11.23","0","Four","In stock (14 available)"
"Carrie","46.23","0","Two","In stock (14 available)"
"Angels & Demons (Robert Langdon #1)","51.48","0","Three","In stock (14 available)"
"Barefoot Contessa Back to Basics","28.01","0","One","In stock (14 available)"
"Art Ops Vol. 1","48.8","0","Three","In stock (14 available)"
"Angels Walking (Angels Walking #1)","34.2","0","Two","In stock (14 available)"
"Buying In: The Secret Dialogue Between What We Buy and Who We Are","37.8","0","Four","In stock (14 available)"
"Adulthood Is a Myth: A "Sarah's Scribbles" Collection","10.9","0","Two","In stock (14 available)"
"A Man Called Ove","39.72","0","One","In stock (14 available)"
"Rook","37.86","0","Four","In stock (13 available)"
